NYPD,140430,4769058,2.9446068
DOB,1124,27082,4.150358
DFTA,6828,86301,7.9118433
3-1-1,1,12,8.333333
DHS,16334,172901,9.447024
DOT,98865,952814,10.376107
DCA,20692,153910,13.444221
DOF,67713,408521,16.575157
DOHMH,87323,404983,21.56214
DOITT,1721,6483,26.546352
DPR,245668,703285,34.9315
TLC,81376,167065,48.709187
DOE,9875,17166,57.526505
DSNY,53095,82866,64.073326
EDC,7249,8286,87.48492
DEP,325,325,100.0
