bronx	melrose, mott haven, port morris, hunts point, longwood, claremont, concourse village, crotona park, morrisania, concourse, highbridge, fordham, morris heights, mount hope, university heights, bathgate, belmont, east tremont, west farms, bedford park, norwood, university heights, fieldston, kingsbridge, kingsbridge heights, marble hill, riverdale, spuyten duyvil, van cortlandt village, bronx river, bruckner, castle hill, clason point, harding park, parkchester, soundview, unionport, city island, co-op city, locust point, pelham bay, silver beach, throgs neck, westchester square, allerton, bronxdale, indian village, laconia, morris park, pelham gardens, pelham parkway, van nest, baychester, edenwald, eastchester, fish bay, olinville, wakefield, williamsbridge, woodlawn
brooklyn	greenpoint, williamsburg, boerum hill, brooklyn heights, brooklyn navy yard, clinton hill, dumbo, fort greene, fulton ferry, fulton mall, vinegar hill, bedford-stuyvesant, ocean hill, stuyvesant heights, bushwick, city line, cypress hills, east new york, highland park, new lots, starrett city, carroll gardens, cobble hill, gowanus, park slope, red hook, greenwood heights, sunset park, windsor terrace, crown heights, prospect heights, weeksville, crown heights, prospect lefferts gardens, wingate, bay ridge, dyker heights, fort hamilton, bath beach, bensonhurst, gravesend, mapleton, borough park, kensington, midwood, ocean parkway, bensonhurst, brighton beach, coney island, gravesend, sea gate, flatbush, kensington, midwood, ocean parkway, east gravesend, gerritsen beach, homecrest, kings bay, kings highway, madison, manhattan beach, plum beach, sheepshead bay, brownsville, ocean hill, ditmas village, east flatbush, erasmus, farragut, remsen village, rugby, bergen beach, canarsie, flatlands, georgetown, marine park, mill basin, mill island
manhattan	battery park city, financial district, tribeca, chinatown, greenwich village, little italy, lower east side, noho, soho, west village, alphabet city, chinatown, east village, lower east side, two bridges, chelsea, clinton, hudson yards, midtown, gramercy park, kips bay, rose hill, murray hill, peter cooper village, stuyvesant town, sutton place, tudor city, turtle bay, waterside plaza, lincoln square, manhattan valley, upper west side, lenox hill, roosevelt island, upper east side, yorkville, hamilton heights, manhattanville, morningside heights, harlem, polo grounds, east harlem, randall's island, spanish harlem, wards island, inwood, washington heights
queens	astoria, ditmars, garden bay, long island city, old astoria, queensbridge, ravenswood, steinway, woodside, hunters point, long island city, sunnyside, woodside, east elmhurst, jackson heights, north corona, corona, elmhurst, fresh pond, glendale, maspeth, middle village, liberty park, ridgewood, forest hills, rego park, bay terrace, beechhurst, college point, flushing, linden hill, malba, queensboro hill, whitestone, willets point, briarwood, cunningham heights, flushing south, fresh meadows, hilltop village, holliswood, jamaica estates, kew gardens hills, pomonok houses, utopia, kew gardens, ozone park, richmond hill, woodhaven, howard beach, lindenwood, richmond hill, south ozone park, tudor village, auburndale, bayside, douglaston, east flushing, hollis hills, little neck, oakland gardens, baisley park, jamaica, hollis, rochdale village, st. albans, south jamaica, springfield gardens, bellerose, brookville, cambria heights, floral park, glen oaks, laurelton, meadowmere, new hyde park, queens village, rosedale, arverne, bayswater, belle harbor, breezy point, edgemere, far rockaway, neponsit, rockaway park
staten island	arlington, castleton corners, clifton, concord, elm park, fort wadsworth, graniteville, grymes hill, livingston, mariners harbor, meiers corners, new brighton, port ivory, port richmond, randall manor, rosebank, st. george, shore acres, silver lake, stapleton, sunnyside, tompkinsville, west brighton, westerleigh, island	arrochar, bloomfield, bulls head, chelsea, dongan hills, egbertville, emerson hill, grant city, grasmere, midland beach, new dorp, new springville, oakwood, ocean breeze, old town, south beach, todt hill, travis, island	annadale, arden heights, bay terrace, charleston, eltingville, great kills, greenridge, huguenot, pleasant plains, prince's bay, richmond valley, rossville, tottenville, woodrow
