10002,0.111,0.167,0.196,0.278,0.307,0.029
10003,0.331,0.117,0.088,0.214,0.243,0.029
10004,0.041,0.385,0.282,0.344,0.241,0.104
10006,0.393,0.064,0.018,0.329,0.375,0.046
10009,,,,,,0.196
10010,0.097,0.361,0.074,0.263,0.024,0.287
10011,0.208,0.155,0.193,0.052,0.015,0.037
10013,,,,,,0.078
10016,,,,,,0.008
10019,0.077,0.021,0.042,0.098,0.12,0.021
10021,0.066,,,,,
10023,0.063,0.095,0.065,0.158,0.128,0.03
10026,,,,,,0.051
10027,,,,,,0.094
10029,,0.225,0.128,,,0.096
10030,,,,,,0.07
10031,0.153,0.074,0.061,0.079,0.214,0.135
10032,,,,,,
10035,,,,,,0.145
10036,,,,0.286,0.331,0.045
10038,0.238,0.146,0.168,0.092,0.07,0.022
10039,,,,,,0.012
10040,,,,,,0.474
10065,0.213,0.423,0.399,0.21,0.186,0.024
10128,,,,,,0.043
10282,0.002,0.552,0.106,0.553,0.108,0.445
10301,0.024,0.215,0.258,0.192,0.234,0.042
10302,0.093,0.272,0.296,0.179,0.203,0.024
10306,0.094,0.392,0.335,0.298,0.241,0.057
10312,0.086,0.247,0.169,0.161,0.082,0.079
10314,0.096,0.342,0.284,0.246,0.188,0.058
10451,,,,,,0.019
10453,,,,,,
10454,,,,,,0.132
10455,,,,,,0.134
10456,,,,,,0.05
10457,,,,,,0.034
10458,,,,,,0.048
10459,,,,,,0.096
10460,,,,,,0.023
10461,0.151,0.18,0.196,0.03,0.046,0.016
10462,,,,,,0.007
10463,0.587,0.386,0.569,0.201,0.018,0.183
10466,,,,,,0.017
10467,,,,,,0.012
10468,0.021,0.302,0.351,0.282,0.33,0.048
10469,,,,,,0.042
10472,,,,,,0.195
10473,,,,,,0.037
10475,,,,,,0.105
11101,0.13,0.147,0.075,0.017,0.055,0.072
11103,0.063,0.317,0.243,0.254,0.18,0.075
11106,0.014,0.154,0.124,0.168,0.139,0.029
11201,,0.181,0.343,,,0.162
11203,,,,,,
11204,0.063,0.115,0.239,0.052,0.176,0.124
11205,,,,,,0.134
11206,,,,,,0.125
11207,,,,,,0.128
11208,,,,,,0.076
11209,0.017,0.116,0.21,0.133,0.227,0.093
11210,0.027,0.131,0.141,0.104,0.113,0.01
11211,,,,,,0.048
11212,,,,,,
11213,,,,,,0.16
11214,0.054,0.178,0.188,0.124,0.134,0.01
11215,,,,,,0.252
11216,,,,,,
11217,0.002,0.066,0.129,0.064,0.126,0.063
11218,,,,,,
11220,0.099,0.174,0.201,0.074,0.102,0.028
11221,,,,,,0.054
11222,,,,,,0.003
11223,0.15,0.154,0.272,0.004,0.122,0.118
11224,,,,0.126,0.269,0.143
11225,0.062,0.215,0.009,0.277,0.071,0.205
11226,,,,,,
11229,0.036,0.031,0.158,0.005,0.122,0.126
11230,0.002,0.118,0.218,0.116,0.216,0.099
11231,,,,,,0.02
11233,,,,,,
11235,0.018,0.188,0.293,0.206,0.31,0.105
11236,,,,,,
11237,,,,,,0.1
11238,,,,,,0.121
11354,0.2,0.121,0.17,0.079,0.03,0.049
11355,,,0.13,,,
11358,,,,,0.25,
11361,0.033,0.142,0.11,0.109,0.077,0.032
11364,0.024,0.1,0.104,0.076,0.08,0.004
11365,0.047,0.131,0.129,0.084,0.082,0.002
11366,0.041,0.595,0.094,0.554,0.053,0.501
11367,0.11,0.24,0.248,0.349,0.358,0.008
11368,,,,,,
11373,0.113,0.22,0.216,0.107,0.103,0.003
11375,0.043,0.154,0.125,0.111,0.082,0.029
11385,0.237,0.36,0.276,0.123,0.039,0.084
11411,,,,,,
11412,,,,,,
11413,,,,,,
11416,0.455,0.277,0.017,0.179,0.438,0.259
11417,0.108,0.145,0.088,0.037,0.02,0.057
11418,0.13,0.188,0.12,0.057,0.01,0.068
11426,0.031,0.101,0.094,0.07,0.063,0.006
11427,0.258,0.091,0.143,0.167,0.115,0.052
11432,0.098,0.106,0.17,0.007,0.072,0.064
11433,,0.576,,,,
11434,,0.434,0.29,,,0.144
11691,,,,,,
11694,,,,0.059,0.549,0.49
