11366,0.595,A_B
10463,0.587,A_W
11433,0.576,A_B
10282,0.553,W_B
11694,0.549,W_H
10040,0.474,B_H
11416,0.455,A_W
11434,0.434,A_B
10065,0.423,A_B
10006,0.393,A_W
10306,0.392,A_B
10004,0.385,A_B
10010,0.361,A_B
11385,0.36,A_B
11367,0.358,W_H
10468,0.351,A_H
11201,0.343,A_H
10314,0.342,A_B
10036,0.331,W_H
10003,0.331,A_W
11103,0.317,A_B
11235,0.31,W_H
10002,0.307,W_H
10302,0.296,A_H
11225,0.277,W_B
11223,0.272,A_H
11224,0.269,W_H
11427,0.258,A_W
10301,0.258,A_H
11215,0.252,B_H
11358,0.25,W_H
10312,0.247,A_B
11204,0.239,A_H
10038,0.238,A_W
11209,0.227,W_H
10029,0.225,A_B
11373,0.22,A_B
11230,0.218,A_H
10031,0.214,W_H
10011,0.208,A_W
11220,0.201,A_H
11354,0.2,A_W
10461,0.196,A_H
10009,0.196,B_H
10472,0.195,B_H
11214,0.188,A_H
11418,0.188,A_B
11432,0.17,A_H
11106,0.168,W_B
11213,0.16,B_H
10023,0.158,W_B
11229,0.158,A_H
11375,0.154,A_B
11101,0.147,A_B
10035,0.145,B_H
11417,0.145,A_B
11361,0.142,A_B
11210,0.141,A_H
10455,0.134,B_H
11205,0.134,B_H
10454,0.132,B_H
11365,0.131,A_B
11355,0.13,A_H
11217,0.129,A_H
11207,0.128,B_H
11206,0.125,B_H
11238,0.121,B_H
10019,0.12,W_H
10475,0.105,B_H
11364,0.104,A_H
11426,0.101,A_B
11237,0.1,B_H
10459,0.096,B_H
10027,0.094,B_H
10013,0.078,B_H
11208,0.076,B_H
10030,0.07,B_H
10021,0.066,A_W
11221,0.054,B_H
10026,0.051,B_H
10456,0.05,B_H
11211,0.048,B_H
10458,0.048,B_H
10128,0.043,B_H
10469,0.042,B_H
10473,0.037,B_H
10457,0.034,B_H
10460,0.023,B_H
11231,0.02,B_H
10451,0.019,B_H
10466,0.017,B_H
10039,0.012,B_H
10467,0.012,B_H
10016,0.008,B_H
10462,0.007,B_H
11222,0.003,B_H
10032,,
11368,,
11226,,
11212,,
11412,,
11411,,
10453,,
11691,,
11216,,
11236,,
11413,,
11203,,
11233,,
11218,,
