STREET NAME ID,STREET PREFIX DIRECTION,STREET PREFIX TYPE,STREET NAME,STREET SUFFIX TYPE,STREET SUFFIX DIRECTION,STREET EXTENSION,POSTAL COMMUNITY,MUNICIPAL COMMUNITY,NOTATION,PRIVATE STREET,FRONTAGE ROAD
1513,,,DOT,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1514,,,DOTSON,AVE,,,BATON ROUGE,PARISH,,NO,NO
1515,,,DOUBLE TREE,DR,,,BATON ROUGE,PARISH,,NO,NO
1517,,,DOUCEUR,DR,,,BAKER,BAKER,,NO,NO
1518,,,DOUGHERTY,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1519,,,DOUGLAS,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
152,,,AMARILLO,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1520,,,DOVE HAVEN,CT,,,BATON ROUGE,BATON ROUGE,,NO,NO
1521,,,DOVE HOLLOW,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1522,,,DOVE,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1523,,,DOVER,ST,,,BATON ROUGE,PARISH,,NO,NO
1524,,,DOVERWOOD,DR,,,BATON ROUGE,BATON ROUGE,,YES,NO
1525,,,DOVEWOOD,AVE,,,BATON ROUGE,PARISH,,NO,NO
1526,,,DOWNEY,DR,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
1527,,,DOWNING,DR,,,BATON ROUGE,PARISH,,NO,NO
1529,,,DOYLE,RD,,,BATON ROUGE,PARISH,,NO,NO
153,W,,AMBER,AVE,,,BATON ROUGE,PARISH,,NO,NO
1530,,,DREHR,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
1531,,,DREW,CT,,,BATON ROUGE,BATON ROUGE,,NO,NO
1532,,,DRIFTWOOD,DR,,,BAKER,BAKER,,NO,NO
1533,,,DROZE,RD,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
1534,,,DRUID,CIR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1535,,,DRUSILLA,DR,,,BATON ROUGE,PARISH,,NO,NO
1536,,,DRUSILLA,LN,,,BATON ROUGE,BATON ROUGE,,NO,NO
1537,,,DRY CREEK,DR,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
1538,E,,DUAL,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1539,N,,DUAL,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
154,,,AMBER,DR,,,BATON ROUGE,PARISH,,NO,NO
1540,W,,DUAL,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
